Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200430COVID19MEXICO/200430COVID19MEXICO_REG1_NO/200430COVID19MEXICO_REG1_NO_HOSP.csv,200430COVID19MEXICO,1440,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG1_NO/200501COVID19MEXICO_REG1_NO_AMB.csv,200501COVID19MEXICO,2000,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG1_NO/200501COVID19MEXICO_REG1_NO_HOSP.csv,200501COVID19MEXICO,1539,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG1_NO/200502COVID19MEXICO_REG1_NO_AMB.csv,200502COVID19MEXICO,2078,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG1_NO/200502COVID19MEXICO_REG1_NO_HOSP.csv,200502COVID19MEXICO,1611,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG1_NO/200503COVID19MEXICO_REG1_NO_AMB.csv,200503COVID19MEXICO,2197,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG1_NO/200503COVID19MEXICO_REG1_NO_HOSP.csv,200503COVID19MEXICO,1699,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG1_NO/200504COVID19MEXICO_REG1_NO_AMB.csv,200504COVID19MEXICO,2297,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG1_NO/200504COVID19MEXICO_REG1_NO_HOSP.csv,200504COVID19MEXICO,1828,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG1_NO/200505COVID19MEXICO_REG1_NO_AMB.csv,200505COVID19MEXICO,2426,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG1_NO/200505COVID19MEXICO_REG1_NO_HOSP.csv,200505COVID19MEXICO,1997,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG1_NO/200506COVID19MEXICO_REG1_NO_AMB.csv,200506COVID19MEXICO,2563,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG1_NO/200506COVID19MEXICO_REG1_NO_HOSP.csv,200506COVID19MEXICO,2082,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG1_NO/200507COVID19MEXICO_REG1_NO_AMB.csv,200507COVID19MEXICO,2681,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG1_NO/200507COVID19MEXICO_REG1_NO_HOSP.csv,200507COVID19MEXICO,2179,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG1_NO/200508COVID19MEXICO_REG1_NO_AMB.csv,200508COVID19MEXICO,2804,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG1_NO/200508COVID19MEXICO_REG1_NO_HOSP.csv,200508COVID19MEXICO,2264,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG1_NO/200509COVID19MEXICO_REG1_NO_AMB.csv,200509COVID19MEXICO,2928,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG1_NO/200509COVID19MEXICO_REG1_NO_HOSP.csv,200509COVID19MEXICO,2343,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG1_NO/200510COVID19MEXICO_REG1_NO_AMB.csv,200510COVID19MEXICO,3076,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG1_NO/200510COVID19MEXICO_REG1_NO_HOSP.csv,200510COVID19MEXICO,2387,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG1_NO/200511COVID19MEXICO_REG1_NO_AMB.csv,200511COVID19MEXICO,3158,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG1_NO/200511COVID19MEXICO_REG1_NO_HOSP.csv,200511COVID19MEXICO,2438,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG1_NO/200512COVID19MEXICO_REG1_NO_AMB.csv,200512COVID19MEXICO,3321,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG1_NO/200512COVID19MEXICO_REG1_NO_HOSP.csv,200512COVID19MEXICO,2532,
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG1_NO/200513COVID19MEXICO_REG1_NO_AMB.csv,200513COVID19MEXICO,3506,
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG1_NO/200513COVID19MEXICO_REG1_NO_HOSP.csv,200513COVID19MEXICO,2697,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG1_NO/200514COVID19MEXICO_REG1_NO_AMB.csv,200514COVID19MEXICO,3666,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG1_NO/200514COVID19MEXICO_REG1_NO_HOSP.csv,200514COVID19MEXICO,2812,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG1_NO/200515COVID19MEXICO_REG1_NO_AMB.csv,200515COVID19MEXICO,3930,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG1_NO/200515COVID19MEXICO_REG1_NO_HOSP.csv,200515COVID19MEXICO,2994,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG1_NO/200516COVID19MEXICO_REG1_NO_AMB.csv,200516COVID19MEXICO,4104,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG1_NO/200516COVID19MEXICO_REG1_NO_HOSP.csv,200516COVID19MEXICO,3069,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG1_NO/200517COVID19MEXICO_REG1_NO_AMB.csv,200517COVID19MEXICO,4266,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG1_NO/200517COVID19MEXICO_REG1_NO_HOSP.csv,200517COVID19MEXICO,3174,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG1_NO/200518COVID19MEXICO_REG1_NO_AMB.csv,200518COVID19MEXICO,4402,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG1_NO/200518COVID19MEXICO_REG1_NO_HOSP.csv,200518COVID19MEXICO,3238,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG1_NO/200519COVID19MEXICO_REG1_NO_AMB.csv,200519COVID19MEXICO,4591,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG1_NO/200519COVID19MEXICO_REG1_NO_HOSP.csv,200519COVID19MEXICO,3390,
