Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200430COVID19MEXICO/200430COVID19MEXICO_REG2_NE/200430COVID19MEXICO_REG2_NE_HOSP.csv,200430COVID19MEXICO,242,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG2_NE/200501COVID19MEXICO_REG2_NE_AMB.csv,200501COVID19MEXICO,1050,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG2_NE/200501COVID19MEXICO_REG2_NE_HOSP.csv,200501COVID19MEXICO,265,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG2_NE/200502COVID19MEXICO_REG2_NE_AMB.csv,200502COVID19MEXICO,1128,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG2_NE/200502COVID19MEXICO_REG2_NE_HOSP.csv,200502COVID19MEXICO,284,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG2_NE/200503COVID19MEXICO_REG2_NE_AMB.csv,200503COVID19MEXICO,1178,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG2_NE/200503COVID19MEXICO_REG2_NE_HOSP.csv,200503COVID19MEXICO,294,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG2_NE/200504COVID19MEXICO_REG2_NE_AMB.csv,200504COVID19MEXICO,1233,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG2_NE/200504COVID19MEXICO_REG2_NE_HOSP.csv,200504COVID19MEXICO,310,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG2_NE/200505COVID19MEXICO_REG2_NE_AMB.csv,200505COVID19MEXICO,1280,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG2_NE/200505COVID19MEXICO_REG2_NE_HOSP.csv,200505COVID19MEXICO,321,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG2_NE/200506COVID19MEXICO_REG2_NE_AMB.csv,200506COVID19MEXICO,1364,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG2_NE/200506COVID19MEXICO_REG2_NE_HOSP.csv,200506COVID19MEXICO,331,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG2_NE/200507COVID19MEXICO_REG2_NE_AMB.csv,200507COVID19MEXICO,1455,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG2_NE/200507COVID19MEXICO_REG2_NE_HOSP.csv,200507COVID19MEXICO,353,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG2_NE/200508COVID19MEXICO_REG2_NE_AMB.csv,200508COVID19MEXICO,1539,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG2_NE/200508COVID19MEXICO_REG2_NE_HOSP.csv,200508COVID19MEXICO,375,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG2_NE/200509COVID19MEXICO_REG2_NE_AMB.csv,200509COVID19MEXICO,1822,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG2_NE/200509COVID19MEXICO_REG2_NE_HOSP.csv,200509COVID19MEXICO,392,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG2_NE/200510COVID19MEXICO_REG2_NE_AMB.csv,200510COVID19MEXICO,1906,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG2_NE/200510COVID19MEXICO_REG2_NE_HOSP.csv,200510COVID19MEXICO,413,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG2_NE/200511COVID19MEXICO_REG2_NE_AMB.csv,200511COVID19MEXICO,1960,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG2_NE/200511COVID19MEXICO_REG2_NE_HOSP.csv,200511COVID19MEXICO,427,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG2_NE/200512COVID19MEXICO_REG2_NE_AMB.csv,200512COVID19MEXICO,2043,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG2_NE/200512COVID19MEXICO_REG2_NE_HOSP.csv,200512COVID19MEXICO,447,
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG2_NE/200513COVID19MEXICO_REG2_NE_AMB.csv,200513COVID19MEXICO,2128,
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG2_NE/200513COVID19MEXICO_REG2_NE_HOSP.csv,200513COVID19MEXICO,469,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG2_NE/200514COVID19MEXICO_REG2_NE_AMB.csv,200514COVID19MEXICO,2253,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG2_NE/200514COVID19MEXICO_REG2_NE_HOSP.csv,200514COVID19MEXICO,498,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG2_NE/200515COVID19MEXICO_REG2_NE_AMB.csv,200515COVID19MEXICO,2333,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG2_NE/200515COVID19MEXICO_REG2_NE_HOSP.csv,200515COVID19MEXICO,526,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG2_NE/200516COVID19MEXICO_REG2_NE_AMB.csv,200516COVID19MEXICO,2414,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG2_NE/200516COVID19MEXICO_REG2_NE_HOSP.csv,200516COVID19MEXICO,545,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG2_NE/200517COVID19MEXICO_REG2_NE_AMB.csv,200517COVID19MEXICO,2520,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG2_NE/200517COVID19MEXICO_REG2_NE_HOSP.csv,200517COVID19MEXICO,570,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG2_NE/200518COVID19MEXICO_REG2_NE_AMB.csv,200518COVID19MEXICO,2619,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG2_NE/200518COVID19MEXICO_REG2_NE_HOSP.csv,200518COVID19MEXICO,581,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG2_NE/200519COVID19MEXICO_REG2_NE_AMB.csv,200519COVID19MEXICO,2789,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG2_NE/200519COVID19MEXICO_REG2_NE_HOSP.csv,200519COVID19MEXICO,601,
C:/datos_covid_salida/200520COVID19MEXICO/200520COVID19MEXICO_REG2_NE/200520COVID19MEXICO_REG2_NE_AMB.csv,200520COVID19MEXICO,2925,
C:/datos_covid_salida/200520COVID19MEXICO/200520COVID19MEXICO_REG2_NE/200520COVID19MEXICO_REG2_NE_HOSP.csv,200520COVID19MEXICO,630,
C:/datos_covid_salida/200521COVID19MEXICO/200521COVID19MEXICO_REG2_NE/200521COVID19MEXICO_REG2_NE_AMB.csv,200521COVID19MEXICO,3014,
C:/datos_covid_salida/200521COVID19MEXICO/200521COVID19MEXICO_REG2_NE/200521COVID19MEXICO_REG2_NE_HOSP.csv,200521COVID19MEXICO,651,
C:/datos_covid_salida/200522COVID19MEXICO/200522COVID19MEXICO_REG2_NE/200522COVID19MEXICO_REG2_NE_AMB.csv,200522COVID19MEXICO,3162,
C:/datos_covid_salida/200522COVID19MEXICO/200522COVID19MEXICO_REG2_NE/200522COVID19MEXICO_REG2_NE_HOSP.csv,200522COVID19MEXICO,672,
C:/datos_covid_salida/200523COVID19MEXICO/200523COVID19MEXICO_REG2_NE/200523COVID19MEXICO_REG2_NE_AMB.csv,200523COVID19MEXICO,3275,
C:/datos_covid_salida/200523COVID19MEXICO/200523COVID19MEXICO_REG2_NE/200523COVID19MEXICO_REG2_NE_HOSP.csv,200523COVID19MEXICO,701,
C:/datos_covid_salida/200524COVID19MEXICO/200524COVID19MEXICO_REG2_NE/200524COVID19MEXICO_REG2_NE_AMB.csv,200524COVID19MEXICO,3395,
C:/datos_covid_salida/200524COVID19MEXICO/200524COVID19MEXICO_REG2_NE/200524COVID19MEXICO_REG2_NE_HOSP.csv,200524COVID19MEXICO,715,
C:/datos_covid_salida/200525COVID19MEXICO/200525COVID19MEXICO_REG2_NE/200525COVID19MEXICO_REG2_NE_AMB.csv,200525COVID19MEXICO,3534,
C:/datos_covid_salida/200525COVID19MEXICO/200525COVID19MEXICO_REG2_NE/200525COVID19MEXICO_REG2_NE_HOSP.csv,200525COVID19MEXICO,737,
C:/datos_covid_salida/200526COVID19MEXICO/200526COVID19MEXICO_REG2_NE/200526COVID19MEXICO_REG2_NE_AMB.csv,200526COVID19MEXICO,3661,
C:/datos_covid_salida/200526COVID19MEXICO/200526COVID19MEXICO_REG2_NE/200526COVID19MEXICO_REG2_NE_HOSP.csv,200526COVID19MEXICO,761,
C:/datos_covid_salida/200527COVID19MEXICO/200527COVID19MEXICO_REG2_NE/200527COVID19MEXICO_REG2_NE_AMB.csv,200527COVID19MEXICO,3858,
C:/datos_covid_salida/200527COVID19MEXICO/200527COVID19MEXICO_REG2_NE/200527COVID19MEXICO_REG2_NE_HOSP.csv,200527COVID19MEXICO,820,
C:/datos_covid_salida/200528COVID19MEXICO/200528COVID19MEXICO_REG2_NE/200528COVID19MEXICO_REG2_NE_AMB.csv,200528COVID19MEXICO,4016,
C:/datos_covid_salida/200528COVID19MEXICO/200528COVID19MEXICO_REG2_NE/200528COVID19MEXICO_REG2_NE_HOSP.csv,200528COVID19MEXICO,848,
C:/datos_covid_salida/200529COVID19MEXICO/200529COVID19MEXICO_REG2_NE/200529COVID19MEXICO_REG2_NE_AMB.csv,200529COVID19MEXICO,4179,
