Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200430COVID19MEXICO/200430COVID19MEXICO_REG5_SE/200430COVID19MEXICO_REG5_SE_HOSP.csv,200430COVID19MEXICO,1234,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG5_SE/200501COVID19MEXICO_REG5_SE_AMB.csv,200501COVID19MEXICO,2100,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG5_SE/200501COVID19MEXICO_REG5_SE_HOSP.csv,200501COVID19MEXICO,1342,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG5_SE/200502COVID19MEXICO_REG5_SE_AMB.csv,200502COVID19MEXICO,2220,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG5_SE/200502COVID19MEXICO_REG5_SE_HOSP.csv,200502COVID19MEXICO,1439,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG5_SE/200503COVID19MEXICO_REG5_SE_AMB.csv,200503COVID19MEXICO,2372,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG5_SE/200503COVID19MEXICO_REG5_SE_HOSP.csv,200503COVID19MEXICO,1534,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG5_SE/200504COVID19MEXICO_REG5_SE_AMB.csv,200504COVID19MEXICO,2476,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG5_SE/200504COVID19MEXICO_REG5_SE_HOSP.csv,200504COVID19MEXICO,1629,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG5_SE/200505COVID19MEXICO_REG5_SE_AMB.csv,200505COVID19MEXICO,2562,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG5_SE/200505COVID19MEXICO_REG5_SE_HOSP.csv,200505COVID19MEXICO,1705,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG5_SE/200506COVID19MEXICO_REG5_SE_AMB.csv,200506COVID19MEXICO,2685,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG5_SE/200506COVID19MEXICO_REG5_SE_HOSP.csv,200506COVID19MEXICO,1786,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG5_SE/200507COVID19MEXICO_REG5_SE_AMB.csv,200507COVID19MEXICO,2853,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG5_SE/200507COVID19MEXICO_REG5_SE_HOSP.csv,200507COVID19MEXICO,1899,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG5_SE/200508COVID19MEXICO_REG5_SE_AMB.csv,200508COVID19MEXICO,3042,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG5_SE/200508COVID19MEXICO_REG5_SE_HOSP.csv,200508COVID19MEXICO,2036,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG5_SE/200509COVID19MEXICO_REG5_SE_AMB.csv,200509COVID19MEXICO,3234,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG5_SE/200509COVID19MEXICO_REG5_SE_HOSP.csv,200509COVID19MEXICO,2154,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG5_SE/200510COVID19MEXICO_REG5_SE_AMB.csv,200510COVID19MEXICO,3359,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG5_SE/200510COVID19MEXICO_REG5_SE_HOSP.csv,200510COVID19MEXICO,2245,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG5_SE/200511COVID19MEXICO_REG5_SE_AMB.csv,200511COVID19MEXICO,3543,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG5_SE/200511COVID19MEXICO_REG5_SE_HOSP.csv,200511COVID19MEXICO,2419,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG5_SE/200512COVID19MEXICO_REG5_SE_AMB.csv,200512COVID19MEXICO,3729,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG5_SE/200512COVID19MEXICO_REG5_SE_HOSP.csv,200512COVID19MEXICO,2586,
