Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200430COVID19MEXICO/200430COVID19MEXICO_REG4_CE/200430COVID19MEXICO_REG4_CE_HOSP.csv,200430COVID19MEXICO,4279,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG4_CE/200501COVID19MEXICO_REG4_CE_AMB.csv,200501COVID19MEXICO,6201,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG4_CE/200501COVID19MEXICO_REG4_CE_HOSP.csv,200501COVID19MEXICO,4658,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG4_CE/200502COVID19MEXICO_REG4_CE_AMB.csv,200502COVID19MEXICO,6708,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG4_CE/200502COVID19MEXICO_REG4_CE_HOSP.csv,200502COVID19MEXICO,4944,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG4_CE/200503COVID19MEXICO_REG4_CE_AMB.csv,200503COVID19MEXICO,7154,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG4_CE/200503COVID19MEXICO_REG4_CE_HOSP.csv,200503COVID19MEXICO,5284,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG4_CE/200504COVID19MEXICO_REG4_CE_AMB.csv,200504COVID19MEXICO,7537,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG4_CE/200504COVID19MEXICO_REG4_CE_HOSP.csv,200504COVID19MEXICO,5743,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG4_CE/200505COVID19MEXICO_REG4_CE_AMB.csv,200505COVID19MEXICO,7784,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG4_CE/200505COVID19MEXICO_REG4_CE_HOSP.csv,200505COVID19MEXICO,6025,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG4_CE/200506COVID19MEXICO_REG4_CE_AMB.csv,200506COVID19MEXICO,8305,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG4_CE/200506COVID19MEXICO_REG4_CE_HOSP.csv,200506COVID19MEXICO,6488,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG4_CE/200507COVID19MEXICO_REG4_CE_AMB.csv,200507COVID19MEXICO,8963,
